Subcategory,Skin_Tone_RGB,Makeup_Recommendations
Midnight Auburn,"(80, 40, 30)","Foundation shades matching RGB (80, 40, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (80, 64, 30) and RGB (80, 30, 44). Eyeshadow palettes with triadic tones like RGB (30, 80, 39) and RGB (40, 30, 80). Lipstick or blush in complementary shade RGB (30, 69, 80) for bold looks."
Charred Walnut,"(70, 30, 30)","Foundation shades matching RGB (70, 30, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (70, 49, 29) and RGB (70, 29, 49). Eyeshadow palettes with triadic tones like RGB (30, 70, 29) and RGB (30, 29, 70). Lipstick or blush in complementary shade RGB (29, 70, 70) for bold looks."
Onyx Brown,"(60, 30, 30)","Foundation shades matching RGB (60, 30, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (60, 44, 30) and RGB (60, 30, 44). Eyeshadow palettes with triadic tones like RGB (30, 60, 30) and RGB (30, 30, 60). Lipstick or blush in complementary shade RGB (30, 60, 60) for bold looks."
Sapphire Black,"(50, 20, 30)","Foundation shades matching RGB (50, 20, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (50, 24, 20) and RGB (50, 20, 44). Eyeshadow palettes with triadic tones like RGB (30, 50, 20) and RGB (20, 29, 50). Lipstick or blush in complementary shade RGB (20, 50, 40) for bold looks."
Jet Shadow,"(40, 20, 20)","Foundation shades matching RGB (40, 20, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (40, 29, 20) and RGB (40, 20, 29). Eyeshadow palettes with triadic tones like RGB (20, 40, 20) and RGB (20, 20, 40). Lipstick or blush in complementary shade RGB (20, 40, 40) for bold looks."
Blue Coal,"(30, 10, 20)","Foundation shades matching RGB (30, 10, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (30, 10, 10) and RGB (30, 10, 29). Eyeshadow palettes with triadic tones like RGB (20, 30, 10) and RGB (10, 19, 30). Lipstick or blush in complementary shade RGB (10, 30, 19) for bold looks."
Rosewood Olive,"(190, 130, 100)","Foundation shades matching RGB (190, 130, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (190, 174, 100) and RGB (190, 100, 114). Eyeshadow palettes with triadic tones like RGB (100, 190, 129) and RGB (130, 100, 190). Lipstick or blush in complementary shade RGB (100, 160, 190) for bold looks."
Gold Bronze,"(200, 150, 90)","Foundation shades matching RGB (200, 150, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (195, 200, 90) and RGB (200, 95, 90). Eyeshadow palettes with triadic tones like RGB (90, 200, 149) and RGB (150, 90, 200). Lipstick or blush in complementary shade RGB (90, 139, 200) for bold looks."
Deep Caramel Olive,"(170, 100, 70)","Foundation shades matching RGB (170, 100, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (170, 149, 70) and RGB (170, 70, 89). Eyeshadow palettes with triadic tones like RGB (70, 170, 99) and RGB (100, 70, 170). Lipstick or blush in complementary shade RGB (70, 139, 170) for bold looks."
Ice Peach,"(255, 245, 240)","Foundation shades matching RGB (255, 245, 240) for a seamless base. Blush and lip colors in analogous shades like RGB (255, 252, 240) and RGB (255, 240, 242). Eyeshadow palettes with triadic tones like RGB (240, 255, 244) and RGB (245, 240, 255). Lipstick or blush in complementary shade RGB (240, 250, 255) for bold looks."
Alabaster Glow,"(250, 240, 235)","Foundation shades matching RGB (250, 240, 235) for a seamless base. Blush and lip colors in analogous shades like RGB (250, 247, 235) and RGB (250, 235, 237). Eyeshadow palettes with triadic tones like RGB (235, 250, 239) and RGB (240, 235, 250). Lipstick or blush in complementary shade RGB (235, 244, 250) for bold looks."
Pearl Frost,"(240, 250, 245)","Foundation shades matching RGB (240, 250, 245) for a seamless base. Blush and lip colors in analogous shades like RGB (240, 250, 249) and RGB (240, 250, 240). Eyeshadow palettes with triadic tones like RGB (244, 240, 250) and RGB (250, 245, 240). Lipstick or blush in complementary shade RGB (250, 240, 244) for bold looks."
Rosy Cream,"(255, 230, 220)","Foundation shades matching RGB (255, 230, 220) for a seamless base. Blush and lip colors in analogous shades like RGB (255, 247, 220) and RGB (255, 220, 227). Eyeshadow palettes with triadic tones like RGB (220, 255, 229) and RGB (230, 220, 255). Lipstick or blush in complementary shade RGB (220, 245, 255) for bold looks."
Champagne Mist,"(255, 240, 220)","Foundation shades matching RGB (255, 240, 220) for a seamless base. Blush and lip colors in analogous shades like RGB (252, 255, 220) and RGB (255, 222, 220). Eyeshadow palettes with triadic tones like RGB (220, 255, 239) and RGB (240, 220, 255). Lipstick or blush in complementary shade RGB (220, 235, 255) for bold looks."
Lily White,"(245, 250, 240)","Foundation shades matching RGB (245, 250, 240) for a seamless base. Blush and lip colors in analogous shades like RGB (240, 250, 240) and RGB (249, 250, 240). Eyeshadow palettes with triadic tones like RGB (240, 245, 250) and RGB (250, 240, 244). Lipstick or blush in complementary shade RGB (244, 240, 250) for bold looks."
Honey Pearl,"(245, 220, 200)","Foundation shades matching RGB (245, 220, 200) for a seamless base. Blush and lip colors in analogous shades like RGB (245, 242, 200) and RGB (245, 200, 202). Eyeshadow palettes with triadic tones like RGB (200, 245, 219) and RGB (220, 200, 245). Lipstick or blush in complementary shade RGB (200, 225, 245) for bold looks."
Soft Coral,"(250, 210, 190)","Foundation shades matching RGB (250, 210, 190) for a seamless base. Blush and lip colors in analogous shades like RGB (250, 239, 190) and RGB (250, 190, 199). Eyeshadow palettes with triadic tones like RGB (190, 250, 209) and RGB (210, 190, 250). Lipstick or blush in complementary shade RGB (190, 229, 250) for bold looks."
Warm Apricot,"(250, 200, 170)","Foundation shades matching RGB (250, 200, 170) for a seamless base. Blush and lip colors in analogous shades like RGB (250, 239, 170) and RGB (250, 170, 179). Eyeshadow palettes with triadic tones like RGB (170, 250, 199) and RGB (200, 170, 250). Lipstick or blush in complementary shade RGB (170, 219, 250) for bold looks."
Sandy Buff,"(230, 200, 170)","Foundation shades matching RGB (230, 200, 170) for a seamless base. Blush and lip colors in analogous shades like RGB (230, 229, 170) and RGB (230, 170, 170). Eyeshadow palettes with triadic tones like RGB (170, 230, 199) and RGB (200, 170, 230). Lipstick or blush in complementary shade RGB (170, 200, 230) for bold looks."
Pale Gold,"(240, 210, 170)","Foundation shades matching RGB (240, 210, 170) for a seamless base. Blush and lip colors in analogous shades like RGB (235, 240, 170) and RGB (240, 175, 170). Eyeshadow palettes with triadic tones like RGB (170, 240, 209) and RGB (210, 170, 240). Lipstick or blush in complementary shade RGB (170, 200, 240) for bold looks."
Peach Olive,"(220, 190, 160)","Foundation shades matching RGB (220, 190, 160) for a seamless base. Blush and lip colors in analogous shades like RGB (220, 219, 160) and RGB (220, 160, 160). Eyeshadow palettes with triadic tones like RGB (160, 220, 189) and RGB (190, 160, 220). Lipstick or blush in complementary shade RGB (160, 190, 220) for bold looks."
Warm Amber,"(200, 150, 120)","Foundation shades matching RGB (200, 150, 120) for a seamless base. Blush and lip colors in analogous shades like RGB (200, 189, 120) and RGB (200, 120, 129). Eyeshadow palettes with triadic tones like RGB (120, 200, 149) and RGB (150, 120, 200). Lipstick or blush in complementary shade RGB (120, 170, 200) for bold looks."
Mocha Sand,"(190, 140, 120)","Foundation shades matching RGB (190, 140, 120) for a seamless base. Blush and lip colors in analogous shades like RGB (190, 174, 120) and RGB (190, 120, 134). Eyeshadow palettes with triadic tones like RGB (120, 190, 139) and RGB (140, 120, 190). Lipstick or blush in complementary shade RGB (120, 170, 190) for bold looks."
Reddish Copper,"(180, 130, 100)","Foundation shades matching RGB (180, 130, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (180, 169, 100) and RGB (180, 100, 109). Eyeshadow palettes with triadic tones like RGB (100, 180, 129) and RGB (130, 100, 180). Lipstick or blush in complementary shade RGB (100, 150, 180) for bold looks."
Chocolate Gold,"(170, 110, 90)","Foundation shades matching RGB (170, 110, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (170, 149, 90) and RGB (170, 90, 109). Eyeshadow palettes with triadic tones like RGB (90, 170, 109) and RGB (110, 90, 170). Lipstick or blush in complementary shade RGB (90, 149, 170) for bold looks."
Caramel Bronze,"(160, 100, 80)","Foundation shades matching RGB (160, 100, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (160, 139, 80) and RGB (160, 80, 99). Eyeshadow palettes with triadic tones like RGB (80, 160, 99) and RGB (100, 80, 160). Lipstick or blush in complementary shade RGB (80, 140, 160) for bold looks."
Cinnamon Olive,"(150, 90, 70)","Foundation shades matching RGB (150, 90, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (150, 129, 70) and RGB (150, 70, 89). Eyeshadow palettes with triadic tones like RGB (70, 150, 89) and RGB (90, 70, 150). Lipstick or blush in complementary shade RGB (70, 130, 150) for bold looks."
Deep Taupe,"(140, 100, 80)","Foundation shades matching RGB (140, 100, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (140, 129, 80) and RGB (140, 80, 89). Eyeshadow palettes with triadic tones like RGB (80, 140, 99) and RGB (100, 80, 140). Lipstick or blush in complementary shade RGB (80, 120, 140) for bold looks."
Warm Sandstone,"(150, 110, 80)","Foundation shades matching RGB (150, 110, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (150, 144, 80) and RGB (150, 80, 84). Eyeshadow palettes with triadic tones like RGB (80, 150, 109) and RGB (110, 80, 150). Lipstick or blush in complementary shade RGB (80, 120, 150) for bold looks."
Rusted Olive,"(140, 90, 70)","Foundation shades matching RGB (140, 90, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (140, 124, 70) and RGB (140, 70, 84). Eyeshadow palettes with triadic tones like RGB (70, 140, 89) and RGB (90, 70, 140). Lipstick or blush in complementary shade RGB (70, 119, 140) for bold looks."
Warm Espresso,"(120, 80, 60)","Foundation shades matching RGB (120, 80, 60) for a seamless base. Blush and lip colors in analogous shades like RGB (120, 109, 60) and RGB (120, 60, 69). Eyeshadow palettes with triadic tones like RGB (60, 120, 79) and RGB (80, 60, 120). Lipstick or blush in complementary shade RGB (60, 99, 120) for bold looks."
Auburn Glow,"(110, 70, 50)","Foundation shades matching RGB (110, 70, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (110, 99, 49) and RGB (110, 49, 59). Eyeshadow palettes with triadic tones like RGB (49, 110, 69) and RGB (70, 49, 110). Lipstick or blush in complementary shade RGB (49, 89, 110) for bold looks."
Deep Sienna,"(100, 60, 50)","Foundation shades matching RGB (100, 60, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (100, 84, 50) and RGB (100, 50, 64). Eyeshadow palettes with triadic tones like RGB (50, 100, 59) and RGB (60, 50, 100). Lipstick or blush in complementary shade RGB (50, 89, 100) for bold looks."
Charcoal Auburn,"(80, 40, 30)","Foundation shades matching RGB (80, 40, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (80, 64, 30) and RGB (80, 30, 44). Eyeshadow palettes with triadic tones like RGB (30, 80, 39) and RGB (40, 30, 80). Lipstick or blush in complementary shade RGB (30, 69, 80) for bold looks."
Bronze Ebony,"(90, 50, 40)","Foundation shades matching RGB (90, 50, 40) for a seamless base. Blush and lip colors in analogous shades like RGB (90, 74, 40) and RGB (90, 40, 54). Eyeshadow palettes with triadic tones like RGB (40, 90, 49) and RGB (50, 40, 90). Lipstick or blush in complementary shade RGB (40, 80, 90) for bold looks."
Cool Graphite,"(70, 40, 30)","Foundation shades matching RGB (70, 40, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (70, 59, 29) and RGB (70, 29, 39). Eyeshadow palettes with triadic tones like RGB (29, 70, 39) and RGB (40, 29, 70). Lipstick or blush in complementary shade RGB (29, 60, 70) for bold looks."
Black Chestnut,"(60, 30, 30)","Foundation shades matching RGB (60, 30, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (60, 44, 30) and RGB (60, 30, 44). Eyeshadow palettes with triadic tones like RGB (30, 60, 30) and RGB (30, 30, 60). Lipstick or blush in complementary shade RGB (30, 60, 60) for bold looks."
Jet Indigo,"(50, 20, 30)","Foundation shades matching RGB (50, 20, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (50, 24, 20) and RGB (50, 20, 44). Eyeshadow palettes with triadic tones like RGB (30, 50, 20) and RGB (20, 29, 50). Lipstick or blush in complementary shade RGB (20, 50, 40) for bold looks."
Cool Sapphire,"(40, 10, 20)","Foundation shades matching RGB (40, 10, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (40, 14, 10) and RGB (40, 10, 34). Eyeshadow palettes with triadic tones like RGB (20, 40, 10) and RGB (10, 19, 40). Lipstick or blush in complementary shade RGB (10, 40, 29) for bold looks."
Warm Coal,"(50, 20, 10)","Foundation shades matching RGB (50, 20, 10) for a seamless base. Blush and lip colors in analogous shades like RGB (50, 39, 9) and RGB (50, 9, 19). Eyeshadow palettes with triadic tones like RGB (9, 50, 19) and RGB (20, 9, 50). Lipstick or blush in complementary shade RGB (9, 40, 50) for bold looks."
Russet Olive,"(180, 120, 100)","Foundation shades matching RGB (180, 120, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (180, 159, 100) and RGB (180, 100, 119). Eyeshadow palettes with triadic tones like RGB (100, 180, 119) and RGB (120, 100, 180). Lipstick or blush in complementary shade RGB (100, 160, 180) for bold looks."
Golden Rose,"(200, 150, 120)","Foundation shades matching RGB (200, 150, 120) for a seamless base. Blush and lip colors in analogous shades like RGB (200, 189, 120) and RGB (200, 120, 129). Eyeshadow palettes with triadic tones like RGB (120, 200, 149) and RGB (150, 120, 200). Lipstick or blush in complementary shade RGB (120, 170, 200) for bold looks."
Bronze Honey,"(170, 110, 90)","Foundation shades matching RGB (170, 110, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (170, 149, 90) and RGB (170, 90, 109). Eyeshadow palettes with triadic tones like RGB (90, 170, 109) and RGB (110, 90, 170). Lipstick or blush in complementary shade RGB (90, 149, 170) for bold looks."
Pearl Glow,"(250, 245, 240)","Foundation shades matching RGB (250, 245, 240) for a seamless base. Blush and lip colors in analogous shades like RGB (250, 249, 240) and RGB (250, 240, 240). Eyeshadow palettes with triadic tones like RGB (240, 250, 244) and RGB (245, 240, 250). Lipstick or blush in complementary shade RGB (240, 244, 250) for bold looks."
Ice Quartz,"(240, 250, 255)","Foundation shades matching RGB (240, 250, 255) for a seamless base. Blush and lip colors in analogous shades like RGB (240, 242, 255) and RGB (240, 255, 252). Eyeshadow palettes with triadic tones like RGB (255, 240, 250) and RGB (249, 255, 240). Lipstick or blush in complementary shade RGB (255, 245, 240) for bold looks."
Moonstone,"(245, 240, 250)","Foundation shades matching RGB (245, 240, 250) for a seamless base. Blush and lip colors in analogous shades like RGB (249, 240, 250) and RGB (240, 240, 250). Eyeshadow palettes with triadic tones like RGB (250, 244, 240) and RGB (240, 250, 245). Lipstick or blush in complementary shade RGB (244, 250, 240) for bold looks."
Petal Pink,"(255, 225, 220)","Foundation shades matching RGB (255, 225, 220) for a seamless base. Blush and lip colors in analogous shades like RGB (255, 242, 220) and RGB (255, 220, 232). Eyeshadow palettes with triadic tones like RGB (220, 255, 224) and RGB (225, 220, 255). Lipstick or blush in complementary shade RGB (220, 250, 255) for bold looks."
Winter Rose,"(250, 220, 230)","Foundation shades matching RGB (250, 220, 230) for a seamless base. Blush and lip colors in analogous shades like RGB (250, 224, 220) and RGB (250, 220, 244). Eyeshadow palettes with triadic tones like RGB (230, 250, 220) and RGB (220, 229, 250). Lipstick or blush in complementary shade RGB (220, 250, 239) for bold looks."
White Almond,"(255, 240, 220)","Foundation shades matching RGB (255, 240, 220) for a seamless base. Blush and lip colors in analogous shades like RGB (252, 255, 220) and RGB (255, 222, 220). Eyeshadow palettes with triadic tones like RGB (220, 255, 239) and RGB (240, 220, 255). Lipstick or blush in complementary shade RGB (220, 235, 255) for bold looks."
Sand Rose,"(240, 220, 210)","Foundation shades matching RGB (240, 220, 210) for a seamless base. Blush and lip colors in analogous shades like RGB (240, 234, 210) and RGB (240, 210, 214). Eyeshadow palettes with triadic tones like RGB (210, 240, 219) and RGB (220, 210, 240). Lipstick or blush in complementary shade RGB (210, 229, 240) for bold looks."
Golden Shell,"(245, 225, 200)","Foundation shades matching RGB (245, 225, 200) for a seamless base. Blush and lip colors in analogous shades like RGB (242, 245, 200) and RGB (245, 202, 200). Eyeshadow palettes with triadic tones like RGB (200, 245, 224) and RGB (225, 200, 245). Lipstick or blush in complementary shade RGB (200, 220, 245) for bold looks."
Peach Blossom,"(250, 210, 190)","Foundation shades matching RGB (250, 210, 190) for a seamless base. Blush and lip colors in analogous shades like RGB (250, 239, 190) and RGB (250, 190, 199). Eyeshadow palettes with triadic tones like RGB (190, 250, 209) and RGB (210, 190, 250). Lipstick or blush in complementary shade RGB (190, 229, 250) for bold looks."
Vanilla Gold,"(230, 200, 170)","Foundation shades matching RGB (230, 200, 170) for a seamless base. Blush and lip colors in analogous shades like RGB (230, 229, 170) and RGB (230, 170, 170). Eyeshadow palettes with triadic tones like RGB (170, 230, 199) and RGB (200, 170, 230). Lipstick or blush in complementary shade RGB (170, 200, 230) for bold looks."
Rosy Apricot,"(235, 190, 160)","Foundation shades matching RGB (235, 190, 160) for a seamless base. Blush and lip colors in analogous shades like RGB (235, 227, 160) and RGB (235, 160, 167). Eyeshadow palettes with triadic tones like RGB (160, 235, 189) and RGB (190, 160, 235). Lipstick or blush in complementary shade RGB (160, 205, 235) for bold looks."
Desert Glow,"(220, 180, 150)","Foundation shades matching RGB (220, 180, 150) for a seamless base. Blush and lip colors in analogous shades like RGB (220, 214, 150) and RGB (220, 150, 154). Eyeshadow palettes with triadic tones like RGB (150, 220, 179) and RGB (180, 150, 220). Lipstick or blush in complementary shade RGB (150, 190, 220) for bold looks."
Copper Glow,"(200, 140, 120)","Foundation shades matching RGB (200, 140, 120) for a seamless base. Blush and lip colors in analogous shades like RGB (200, 179, 120) and RGB (200, 120, 139). Eyeshadow palettes with triadic tones like RGB (120, 200, 139) and RGB (140, 120, 200). Lipstick or blush in complementary shade RGB (120, 179, 200) for bold looks."
Mocha Beige,"(190, 130, 110)","Foundation shades matching RGB (190, 130, 110) for a seamless base. Blush and lip colors in analogous shades like RGB (190, 169, 110) and RGB (190, 110, 129). Eyeshadow palettes with triadic tones like RGB (110, 190, 129) and RGB (130, 110, 190). Lipstick or blush in complementary shade RGB (110, 170, 190) for bold looks."
Burnished Bronze,"(180, 120, 100)","Foundation shades matching RGB (180, 120, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (180, 159, 100) and RGB (180, 100, 119). Eyeshadow palettes with triadic tones like RGB (100, 180, 119) and RGB (120, 100, 180). Lipstick or blush in complementary shade RGB (100, 160, 180) for bold looks."
Amber Bronze,"(170, 110, 90)","Foundation shades matching RGB (170, 110, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (170, 149, 90) and RGB (170, 90, 109). Eyeshadow palettes with triadic tones like RGB (90, 170, 109) and RGB (110, 90, 170). Lipstick or blush in complementary shade RGB (90, 149, 170) for bold looks."
Olive Mahogany,"(160, 100, 80)","Foundation shades matching RGB (160, 100, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (160, 139, 80) and RGB (160, 80, 99). Eyeshadow palettes with triadic tones like RGB (80, 160, 99) and RGB (100, 80, 160). Lipstick or blush in complementary shade RGB (80, 140, 160) for bold looks."
Chocolate Sand,"(150, 90, 70)","Foundation shades matching RGB (150, 90, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (150, 129, 70) and RGB (150, 70, 89). Eyeshadow palettes with triadic tones like RGB (70, 150, 89) and RGB (90, 70, 150). Lipstick or blush in complementary shade RGB (70, 130, 150) for bold looks."
Redwood Olive,"(140, 80, 60)","Foundation shades matching RGB (140, 80, 60) for a seamless base. Blush and lip colors in analogous shades like RGB (140, 119, 59) and RGB (140, 59, 79). Eyeshadow palettes with triadic tones like RGB (59, 140, 79) and RGB (80, 59, 140). Lipstick or blush in complementary shade RGB (59, 120, 140) for bold looks."
Sepia Bronze,"(130, 90, 70)","Foundation shades matching RGB (130, 90, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (130, 119, 70) and RGB (130, 70, 79). Eyeshadow palettes with triadic tones like RGB (70, 130, 89) and RGB (90, 70, 130). Lipstick or blush in complementary shade RGB (70, 109, 130) for bold looks."
Dusky Gold,"(150, 110, 70)","Foundation shades matching RGB (150, 110, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (150, 149, 70) and RGB (150, 70, 70). Eyeshadow palettes with triadic tones like RGB (70, 150, 109) and RGB (110, 70, 150). Lipstick or blush in complementary shade RGB (70, 110, 150) for bold looks."
Warm Espresso,"(120, 70, 50)","Foundation shades matching RGB (120, 70, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (120, 104, 49) and RGB (120, 49, 64). Eyeshadow palettes with triadic tones like RGB (49, 120, 69) and RGB (70, 49, 120). Lipstick or blush in complementary shade RGB (49, 99, 120) for bold looks."
Deep Sienna,"(110, 60, 50)","Foundation shades matching RGB (110, 60, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (110, 89, 49) and RGB (110, 49, 69). Eyeshadow palettes with triadic tones like RGB (49, 110, 59) and RGB (60, 49, 110). Lipstick or blush in complementary shade RGB (49, 99, 110) for bold looks."
Coffee Glow,"(100, 70, 50)","Foundation shades matching RGB (100, 70, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (100, 94, 50) and RGB (100, 50, 54). Eyeshadow palettes with triadic tones like RGB (50, 100, 69) and RGB (70, 50, 100). Lipstick or blush in complementary shade RGB (50, 80, 100) for bold looks."
Ebony Maple,"(80, 40, 30)","Foundation shades matching RGB (80, 40, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (80, 64, 30) and RGB (80, 30, 44). Eyeshadow palettes with triadic tones like RGB (30, 80, 39) and RGB (40, 30, 80). Lipstick or blush in complementary shade RGB (30, 69, 80) for bold looks."
Charred Copper,"(90, 40, 30)","Foundation shades matching RGB (90, 40, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (90, 69, 29) and RGB (90, 29, 49). Eyeshadow palettes with triadic tones like RGB (29, 90, 39) and RGB (40, 29, 90). Lipstick or blush in complementary shade RGB (29, 79, 90) for bold looks."
Black Ash,"(70, 30, 20)","Foundation shades matching RGB (70, 30, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (70, 54, 20) and RGB (70, 20, 34). Eyeshadow palettes with triadic tones like RGB (20, 70, 29) and RGB (30, 20, 70). Lipstick or blush in complementary shade RGB (20, 59, 70) for bold looks."
Obsidian Onyx,"(60, 30, 20)","Foundation shades matching RGB (60, 30, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (60, 49, 20) and RGB (60, 20, 29). Eyeshadow palettes with triadic tones like RGB (20, 60, 29) and RGB (30, 20, 60). Lipstick or blush in complementary shade RGB (20, 50, 60) for bold looks."
Blue Sapphire,"(50, 20, 30)","Foundation shades matching RGB (50, 20, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (50, 24, 20) and RGB (50, 20, 44). Eyeshadow palettes with triadic tones like RGB (30, 50, 20) and RGB (20, 29, 50). Lipstick or blush in complementary shade RGB (20, 50, 40) for bold looks."
Warm Jet,"(60, 30, 20)","Foundation shades matching RGB (60, 30, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (60, 49, 20) and RGB (60, 20, 29). Eyeshadow palettes with triadic tones like RGB (20, 60, 29) and RGB (30, 20, 60). Lipstick or blush in complementary shade RGB (20, 50, 60) for bold looks."
Midnight Ruby,"(40, 20, 30)","Foundation shades matching RGB (40, 20, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (40, 20, 20) and RGB (40, 20, 39). Eyeshadow palettes with triadic tones like RGB (30, 40, 20) and RGB (20, 29, 40). Lipstick or blush in complementary shade RGB (20, 40, 29) for bold looks."
Cool Smoke,"(30, 20, 20)","Foundation shades matching RGB (30, 20, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (30, 24, 20) and RGB (30, 20, 24). Eyeshadow palettes with triadic tones like RGB (20, 30, 20) and RGB (20, 20, 30). Lipstick or blush in complementary shade RGB (20, 30, 30) for bold looks."
Blue Ebony,"(30, 10, 20)","Foundation shades matching RGB (30, 10, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (30, 10, 10) and RGB (30, 10, 29). Eyeshadow palettes with triadic tones like RGB (20, 30, 10) and RGB (10, 19, 30). Lipstick or blush in complementary shade RGB (10, 30, 19) for bold looks."
Golden Russet,"(210, 150, 100)","Foundation shades matching RGB (210, 150, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (210, 204, 99) and RGB (210, 99, 104). Eyeshadow palettes with triadic tones like RGB (99, 210, 149) and RGB (150, 99, 210). Lipstick or blush in complementary shade RGB (99, 159, 210) for bold looks."
Honey Olive,"(200, 130, 80)","Foundation shades matching RGB (200, 130, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (200, 189, 80) and RGB (200, 80, 89). Eyeshadow palettes with triadic tones like RGB (80, 200, 129) and RGB (130, 80, 200). Lipstick or blush in complementary shade RGB (80, 150, 200) for bold looks."
Cinnamon Gold,"(190, 120, 70)","Foundation shades matching RGB (190, 120, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (190, 179, 70) and RGB (190, 70, 79). Eyeshadow palettes with triadic tones like RGB (70, 190, 119) and RGB (120, 70, 190). Lipstick or blush in complementary shade RGB (70, 140, 190) for bold looks."
